,term,frequency
564,brauchen,35
565,swinegel,35
566,trommler,35
567,eilte,34
568,vaters,34
569,lebtag,34
570,mühe,34
571,verlassen,34
572,saal,34
573,schulter,34
574,dreiden,34
575,ohren,34
576,stiefmutter,34
577,butt,34
578,huhn,34
579,igel,34
580,schönes,33
581,bart,33
582,drittenmal,33
583,engel,33
584,schwert,33
585,heimlich,33
586,stecken,33
587,rock,33
588,geriet,33
589,graf,33
590,schwanz,33
591,korb,33
592,sichs,32
593,haupt,32
594,erscheinen,32
595,verdienen,32
596,heran,32
597,früh,32
598,feiern,32
599,tages,32
600,schüssel,32
601,trieb,32
602,dabeien,32
603,froh,32
604,tausend,32
605,see,32
606,herde,32
607,pfarrer,32
608,schneewittchen,32
609,löwen,32
610,krange,32
611,nimmermehr,31
612,hör,31
613,ansehen,31
614,je,31
615,raben,31
616,zimmer,31
617,jagd,31
618,ente,31
619,federn,31
620,weisen,31
621,glas,31
622,großmutter,31
623,drachen,31
624,schliefen,30
625,treu,30
626,maus,30
627,soviel,30
628,Kaum,30
629,sorgen,30
630,bring,30
631,erwachte,30
632,stand,30
633,einzig,30
634,jagte,30
635,dumm,30
636,wüßte,30
637,tagen,30
638,fuhrmann,30
639,wirtshaus,30
640,teich,30
641,macht,30
642,hüten,30
643,darum,30
644,Sprach,30
645,bauen,30
646,berge,30
647,vöglein,30
648,richter,30
649,schuster,30
650,katherlieschen,30
651,befahl,29
652,weißen,29
653,wohin,29
654,heeißen,29
655,dreimal,29
656,schlag,29
657,zuerst,29
658,nennen,29
659,zeitlang,29
660,falsch,29
661,best,29
662,Bald,29
663,i,29
664,korn,29
665,gast,29
666,läßen,29
667,is,29
668,frosch,28
669,strecken,28
670,sei,28
671,schaffen,28
672,krone,28
673,gemahl,28
674,leiden,28
675,bekommen,28
676,armen,28
677,eigen,28
678,nahm,28
679,heiraten,28
680,unsere,28
681,schaden,28
682,daranen,28
683,verkaufen,28
684,hol,28
685,kurz,28
686,fragten,28
687,begegnen,28
688,schenken,28
689,asche,28
690,erfüllen,28
691,loch,28
692,ufer,28
693,lebens,28
694,fällen,28
695,greif,28
696,herauf,27
697,rein,27
698,zornig,27
699,bösen,27
700,betrübt,27
701,morgens,27
702,betrachten,27
703,fühlen,27
704,höhle,27
705,hart,27
706,brach,27
707,schlimm,27
708,plötzlich,27
709,geist,27
710,füllen,27
711,schönheit,27
712,liebsten,27
713,wegen,27
714,hoch,27
715,wunsch,27
716,nahe,27
717,nase,27
718,hundert,27
719,gebt,27
720,weilch,26
721,weißt,26
722,heftig,26
723,fordern,26
724,kroch,26
725,schnee,26
726,ers,26
727,galgen,26
728,reihe,26
729,wiedern,26
730,wars,26
731,streich,26
732,zweien,26
733,worin,26
734,dafüren,26
735,musik,26
736,menschlich,26
737,kessel,26
738,eingeschlafen,26
739,wunderlich,26
740,wann,26
741,else,26
742,töchter,25
743,maul,25
744,gras,25
745,fasen,25
746,hinten,25
747,liebe,25
748,weiße,25
749,treffen,25
750,erwiderte,25
751,lee,25
752,milch,25
753,waschen,25
754,konnte,25
755,seiten,25
756,reißen,25
757,darübern,25
